[   36583ms] [LOG] timer {timer: 1224, seconds: 57} @ https://auth.zijieapi.com/ucenter_web/app/second_verification_web/dist/index.umd.production.js?aid=6383&verify_reason=ato_web&verify_scene=qr_connect:1
[   37583ms] [LOG] timer {timer: 1224, seconds: 56} @ https://auth.zijieapi.com/ucenter_web/app/second_verification_web/dist/index.umd.production.js?aid=6383&verify_reason=ato_web&verify_scene=qr_connect:1
[   38581ms] [LOG] timer {timer: 1224, seconds: 55} @ https://auth.zijieapi.com/ucenter_web/app/second_verification_web/dist/index.umd.production.js?aid=6383&verify_reason=ato_web&verify_scene=qr_connect:1
[   39582ms] [LOG] timer {timer: 1224, seconds: 54} @ https://auth.zijieapi.com/ucenter_web/app/second_verification_web/dist/index.umd.production.js?aid=6383&verify_reason=ato_web&verify_scene=qr_connect:1
[   40583ms] [LOG] timer {timer: 1224, seconds: 53} @ https://auth.zijieapi.com/ucenter_web/app/second_verification_web/dist/index.umd.production.js?aid=6383&verify_reason=ato_web&verify_scene=qr_connect:1
[   41584ms] [LOG] timer {timer: 1224, seconds: 52} @ https://auth.zijieapi.com/ucenter_web/app/second_verification_web/dist/index.umd.production.js?aid=6383&verify_reason=ato_web&verify_scene=qr_connect:1
[   42583ms] [LOG] timer {timer: 1224, seconds: 51} @ https://auth.zijieapi.com/ucenter_web/app/second_verification_web/dist/index.umd.production.js?aid=6383&verify_reason=ato_web&verify_scene=qr_connect:1
[   43583ms] [LOG] timer {timer: 1224, seconds: 50} @ https://auth.zijieapi.com/ucenter_web/app/second_verification_web/dist/index.umd.production.js?aid=6383&verify_reason=ato_web&verify_scene=qr_connect:1
[   44585ms] [LOG] timer {timer: 1224, seconds: 49} @ https://auth.zijieapi.com/ucenter_web/app/second_verification_web/dist/index.umd.production.js?aid=6383&verify_reason=ato_web&verify_scene=qr_connect:1
[   45410ms] [LOG] timer {timer: 1224, seconds: 49} @ https://auth.zijieapi.com/ucenter_web/app/second_verification_web/dist/index.umd.production.js?aid=6383&verify_reason=ato_web&verify_scene=qr_connect:1
[   45584ms] [LOG] timer {timer: 1224, seconds: 48} @ https://auth.zijieapi.com/ucenter_web/app/second_verification_web/dist/index.umd.production.js?aid=6383&verify_reason=ato_web&verify_scene=qr_connect:1
[   46307ms] [LOG] timer {timer: 1224, seconds: 48} @ https://auth.zijieapi.com/ucenter_web/app/second_verification_web/dist/index.umd.production.js?aid=6383&verify_reason=ato_web&verify_scene=qr_connect:1
[   46582ms] [LOG] timer {timer: 1224, seconds: 47} @ https://auth.zijieapi.com/ucenter_web/app/second_verification_web/dist/index.umd.production.js?aid=6383&verify_reason=ato_web&verify_scene=qr_connect:1
[   47583ms] [LOG] timer {timer: 1224, seconds: 46} @ https://auth.zijieapi.com/ucenter_web/app/second_verification_web/dist/index.umd.production.js?aid=6383&verify_reason=ato_web&verify_scene=qr_connect:1
[   47797ms] [LOG] timer {timer: 1224, seconds: 46} @ https://auth.zijieapi.com/ucenter_web/app/second_verification_web/dist/index.umd.production.js?aid=6383&verify_reason=ato_web&verify_scene=qr_connect:1
[   48583ms] [LOG] timer {timer: 1224, seconds: 45} @ https://auth.zijieapi.com/ucenter_web/app/second_verification_web/dist/index.umd.production.js?aid=6383&verify_reason=ato_web&verify_scene=qr_connect:1
[   49005ms] [LOG] timer {timer: 1224, seconds: 45} @ https://auth.zijieapi.com/ucenter_web/app/second_verification_web/dist/index.umd.production.js?aid=6383&verify_reason=ato_web&verify_scene=qr_connect:1
